#{"t_start": 1711908894.559071, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
145.0,2405,7498.461108
445.0,3329,7501.104233
145.0,2405,7503.117621
135.0,1483,7510.236728
105.0,1641,7517.485914
105.0,2099,7527.332876
170.0,2887,7540.690435
275.0,2385,7552.126061
225.0,3535,7568.609061
100.0,2025,7578.256452
145.0,1927,7586.909748
95.0,1961,7596.417588
40.0,1355,7603.721099
80.0,2109,7622.785978
120.0,1851,7633.347007
0.0,1817,7641.447462
105.0,1913,7650.424474
330.0,4427,7673.83151
150.0,2007,7685.559839
95.0,1831,7695.251277
100.0,1987,7704.952677
370.0,2791,7718.142571
95.0,1831,7726.328167
80.0,1921,7735.421783
60.0,1285,7741.587494
15.0,925,7746.015939
105.0,1133,7751.769917
140.0,1805,7760.128237
100.0,1703,7768.121085
165.0,2939,7782.5022
45.0,1577,7790.720771
155.0,1967,7800.424219
50.0,1545,7807.968783
90.0,1489,7815.323568
